genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Burkholderia_Caballeronia_Paraburkholderia	2557	3247	411	1599	1016	745	813	988	824	1578
Micromonospora	408	689	309	485	571	292	1500	5758	91	506
Nitrospira	799	849	924	990	966	787	1105	389	430	904
Sphingomonas	1324	654	841	533	616	551	902	929	405	1052
Candidatus_Solibacter	970	972	620	1179	768	730	544	435	597	725
Rhodoplanes	794	902	1096	1019	732	455	655	685	186	630
Haliangium	735	601	627	945	742	653	599	462	601	564
Ellin6067	716	803	538	910	622	539	679	498	340	510
Bryobacter	966	664	437	913	496	583	504	322	284	750
Acidothermus	1068	774	226	766	454	227	253	616	257	497
G12_WMSP1	688	680	219	415	494	179	280	1267	331	305
MND1	423	433	389	595	628	566	451	260	444	290
Gemmatimonas	752	269	150	304	391	175	329	1167	329	443
Pseudomonas	160	249	1015	98	171	950	950	78	88	467
Bradyrhizobium	608	572	220	488	356	336	411	504	265	398
Cupriavidus	322	196	551	136	298	273	315	349	280	529
Vicinamibacter	398	452	128	372	355	193	432	184	271	324
Candidatus_Udaeobacter	529	449	234	449	210	226	211	93	112	577
Dongia	278	253	254	222	237	146	586	222	170	281
Nordella	325	288	148	335	292	175	231	243	136	248
Polycyclovorans	46	159	386	43	49	597	760	31	49	136
Pajaroellobacter	359	269	245	407	182	93	189	112	85	232
other	35213	37342	33371	35290	37224	33986	34330	28018	27414	32921
P3OB_42	192	141	303	143	198	212	218	102	136	249
HSB_OF53_F07	169	238	120	239	255	109	75	189	338	158
RB41	298	187	236	304	111	141	168	87	90	265
Subgroup_10	192	174	357	73	112	338	246	118	140	132
Acidibacter	309	201	99	274	107	224	262	46	152	199
Arenimonas	120	98	206	136	164	548	124	55	193	154
FCPS473	447	139	44	133	60	61	77	366	42	83
Mesorhizobium	234	141	70	127	229	90	106	170	79	190
JGI_0001001_H03	131	139	79	147	143	153	70	118	58	366
JG30a_KF_32	177	104	33	97	105	17	84	656	57	46
Reyranella	154	135	80	174	133	128	99	154	8	202
Phenylobacterium	163	278	18	111	114	62	118	48	42	201
Pseudogulbenkiania	56	18	240	26	134	217	79	56	54	179
Massilia	89	117	549	46	23	107	38	3	0	80
SWB02	23	83	191	68	44	287	193	15	79	61
Herpetosiphon	13	7	411	6	24	302	15	31	170	48
Bacillus	409	70	58	98	49	64	69	26	32	132
ADurb.Bin063_1	101	103	187	116	114	116	59	34	11	162
Gaiella	199	92	56	104	37	85	87	47	19	234
Pedomicrobium	91	91	100	94	80	120	166	81	68	66
Unassigned	218	127	133	99	25	65	86	8	43	91
Azoarcus	42	48	282	13	94	112	76	66	19	119
Ensifer	91	30	151	0	45	133	163	69	43	138
Aquicella	65	93	81	84	57	89	68	34	63	167
Rhodanobacter	29	32	27	34	51	199	31	141	79	151
Candidatus_Omnitrophus	42	116	112	74	49	181	81	4	40	36
Opitutus	129	127	121	70	10	56	69	19	7	117
Devosia	125	41	54	57	64	149	71	49	39	45
Bdellovibrio	78	40	114	31	31	123	80	38	16	122
Flavobacterium	12	267	98	30	5	160	27	0	6	39
Pseudolabrys	117	86	0	52	73	67	64	51	31	97
Aquabacterium	0	176	146	55	139	25	61	0	18	0
Sorangium	0	0	573	0	0	0	0	3	4	0
Chthonomonas	93	24	34	61	51	72	50	37	68	78
Bauldia	49	50	35	43	84	81	40	43	97	40
Sumerlaea	59	98	58	96	27	92	13	31	46	38
Ramlibacter	79	21	14	38	119	24	25	46	37	129
Anaeromyxobacter	41	75	89	62	31	20	46	24	33	106
Phaselicystis	53	24	155	62	32	77	50	8	21	41
Lysobacter	19	27	216	74	7	13	30	0	52	79
Hyphomicrobium	70	36	48	39	58	97	99	30	11	18
Terrimonas	26	69	150	0	0	79	84	0	5	47
Cavicella	16	128	108	73	70	0	23	0	23	0
Neochlamydia	45	33	25	107	17	107	41	2	15	25
BD1_7_clade	22	57	50	50	34	58	85	10	19	19
Microcoleus_SAG_1449_1a	102	0	252	0	2	17	0	0	2	27
Conexibacter	150	33	27	41	18	27	18	35	10	35
Sinomonas	55	24	27	12	38	10	31	108	14	72
Roseomonas	21	7	50	7	12	67	143	5	36	42
Cytophaga	86	125	17	48	43	3	31	0	7	10
Lacunisphaera	4	64	79	33	27	60	29	3	19	50
Aquisphaera	58	39	38	46	27	0	48	42	7	61
Sandaracinus	49	31	11	68	48	23	40	30	24	35
Geothrix	4	25	53	10	12	149	9	0	69	9
Ilumatobacter	90	16	30	28	0	64	58	8	6	33
