genus	Escherichia_Shigella	Prevotellaceae_UCG_001	Bauldia	Dokdonella	Ferrovibrio	Piscinibacter	Rhodanobacter	Arenimonas	Hirschia	UCG_005	Lachnospira	Rhodoblastus	Dyadobacter	Nannocystis	Bordetella	BD1_7_clade	Longivirga	Lysinibacillus	OLB13
Control1	133	156	261	58	14	6	45	65	45	41	4	0	6	0	4	7	0	0	0
Control2	881	842	106	0	0	118	87	9	0	230	0	0	26	0	0	0	0	0	17
Control3	705	401	130	107	0	0	57	61	39	284	0	0	14	0	0	0	0	0	4
Control4	1008	664	131	58	0	27	47	136	78	96	0	0	74	0	0	11	0	0	37
Control5	1670	425	60	0	0	96	48	145	0	259	0	0	200	0	0	0	0	0	57
SynCom1	81	101	449	260	459	242	257	113	155	33	0	59	2	57	0	21	17	16	0
SynCom2	49	68	562	309	331	241	128	204	177	0	9	115	7	107	18	38	95	0	0
SynCom3	215	175	288	537	0	383	535	163	163	7	252	0	2	0	158	40	0	93	0
SynCom4	141	59	306	269	992	157	232	218	234	16	95	94	0	106	9	39	92	13	0
SynCom5	671	204	650	445	247	413	225	197	228	147	16	82	0	52	63	53	5	34	0
