Sample	Root length	Root dry weight	Root moisture content	Ground dry weight	Ground moisture content	root activity
Control1	25.82	9.89	45.75	55.72	44.02	0.170611624
Control2	23.52	9.74	49.64	55.15	42.17	0.164219838
Control3	24.64	12.27	45.92	55.87	42.65	0.175275826
Control4	26.38	12.61	37.94	55.23	43.2	
Control5	25.84	11.23	46.57	55.66	44.7	
Control6	26.34	14.49	32.32	55.76	43.53	
SynCom1	26.52	15.19	47.85	80.54	36.01	0.244347779
SynCom2	32.42	8.19	68.29	75.32	38.49	0.196996761
SynCom3	26.91	15.52	48.13	85.16	32.33	0.233897673
SynCom4	36.52	14.39	42.53	70.56	39.84	
SynCom5	31.45	13.87	47.22	75.87	34.41	
SynCom6	32.42	16.73	53.55	80.24	36.64	
