genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Burkholderia_Caballeronia_Paraburkholderia	4614	8225	1160	2340	4294	2469	2469	1890	2685	1938
Pseudomonas	2846	419	4723	4101	2589	2866	1906	2140	1868	4471
Cupriavidus	1565	775	1271	1493	1501	913	2209	585	1045	1908
Sphingomonas	1072	845	933	723	1092	1644	798	842	570	696
Bradyrhizobium	845	1397	602	746	733	1002	481	822	479	463
Enterobacter	881	52	326	1389	146	120	309	796	214	2403
Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium	1404	571	1719	413	680	297	476	292	289	207
Candidatus_Solibacter	618	622	436	679	762	482	431	672	409	441
Ellin6067	404	326	193	237	873	422	424	1162	374	317
Bryobacter	464	424	403	492	560	362	245	635	269	356
Nitrospira	537	296	473	358	446	357	406	298	441	484
Pseudogulbenkiania	61	0	593	84	99	238	1048	478	774	432
Haliangium	316	255	274	310	368	373	394	339	380	320
Dongia	321	429	192	261	353	357	325	254	460	252
Rhodoplanes	587	147	187	203	348	317	336	317	202	375
Phenylobacterium	149	534	155	517	282	270	143	143	266	236
Mesorhizobium	272	443	174	336	362	205	181	204	244	191
Ensifer	209	109	527	51	133	229	503	189	258	329
Acidothermus	325	505	203	151	715	163	107	168	48	112
Bacillus	330	74	472	252	516	54	106	177	108	354
Azoarcus	46	74	452	70	74	286	800	214	170	148
Massilia	253	176	364	243	561	186	199	86	88	140
other	24868	29135	19376	21618	27402	20281	21732	21530	18368	22587
MND1	218	204	113	145	229	153	508	250	220	139
Variovorax	173	72	252	249	177	183	595	57	100	183
Flavobacterium	53	2	1209	308	29	155	13	21	12	229
Pseudolabrys	146	318	90	141	159	283	154	243	388	97
Gemmatimonas	237	267	119	112	293	326	243	74	165	85
Vicinamibacter	254	282	110	107	244	125	136	73	194	163
Anaeromyxobacter	16	28	57	37	61	56	124	1170	81	40
Micromonospora	366	239	89	120	248	102	72	90	154	145
G12_WMSP1	210	326	76	103	533	69	56	70	86	77
Arenimonas	26	61	115	65	76	508	325	69	145	214
Devosia	111	181	135	169	158	241	199	162	132	93
Ramlibacter	157	120	90	105	226	181	189	82	233	178
Mucilaginibacter	271	87	167	387	526	22	15	29	23	31
Nordella	155	126	81	83	213	194	157	173	164	180
Bdellovibrio	181	16	398	159	67	107	87	113	61	335
Reyranella	121	133	87	151	268	228	76	109	160	120
Clostridium_sensu_stricto_1	16	40	141	75	25	160	183	298	248	217
RB41	399	37	118	89	183	46	191	147	111	78
Acidibacter	131	141	155	122	242	169	94	98	84	115
Perlucidibaca	11	35	452	263	133	73	108	89	130	33
Candidatus_Udaeobacter	195	48	183	117	211	52	55	91	54	175
Azohydromonas	84	12	583	22	73	37	141	31	147	26
Arthrobacter	81	0	161	196	204	56	175	66	32	137
HSB_OF53_F07	121	282	62	75	138	108	37	159	54	68
Novosphingobium	31	10	74	60	18	244	181	213	54	213
Subgroup_10	142	38	191	55	98	59	68	93	138	151
Ralstonia	97	123	73	147	99	151	134	83	48	78
P3OB_42	155	4	141	63	90	70	120	78	77	202
Sinomonas	162	66	92	93	189	54	72	54	71	96
Thiobacillus	0	0	11	33	11	162	76	316	316	14
Vogesella	4	9	827	0	18	34	12	3	8	4
Hyphomicrobium	101	118	94	84	135	106	62	62	110	45
JGI_0001001_H03	119	32	45	60	100	116	106	93	68	157
Rhodanobacter	17	69	34	56	13	121	187	68	94	170
Bosea	73	85	114	56	116	62	99	48	81	91
Roseomonas	58	0	90	14	30	145	136	88	61	184
Pedomicrobium	88	85	97	37	63	64	129	34	87	63
Sphingopyxis	40	30	218	129	102	3	99	54	0	42
SWB02	26	8	59	35	55	84	99	85	93	168
Aquicella	65	36	44	65	57	91	62	89	89	113
Geothrix	22	0	12	44	6	176	129	267	5	43
Clostridium_sensu_stricto_8	66	102	110	193	35	18	40	0	79	37
Lysobacter	60	20	399	9	24	42	25	38	15	45
Pajaroellobacter	52	22	46	62	73	86	53	89	59	115
Polycyclovorans	51	3	134	30	64	65	47	60	77	109
Dyella	51	52	95	28	47	137	36	57	39	62
FCPS473	92	130	49	41	152	35	28	15	37	20
Paenibacillus	82	54	95	96	176	6	13	20	14	22
Nocardioides	135	52	45	44	116	34	67	43	16	26
JG30a_KF_32	77	153	19	35	101	25	19	21	73	24
Puia	56	29	59	38	117	32	0	52	44	97
Clostridium_sensu_stricto_12	0	0	74	53	18	24	58	118	106	58
Pelomonas	0	0	65	65	52	62	100	58	39	65
Streptomyces	56	54	55	4	106	46	47	34	57	26
Gaiella	69	52	30	41	75	28	44	69	21	40
Bauldia	61	47	0	12	54	110	108	20	16	30
Caenimonas	0	44	0	32	163	74	0	0	72	73
Caulobacter	12	9	336	0	41	15	2	25	16	0
Niastella	55	17	62	72	64	25	11	43	9	82
Unassigned	79	39	48	15	143	13	2	31	8	56
Geobacter	14	3	18	79	12	34	38	135	71	20
Dactylosporangium	59	64	35	14	61	96	0	33	18	41
Citrifermentans	1	0	25	8	0	46	116	205	7	10
Desulfovibrio	0	0	0	0	0	5	54	198	73	54
ADurb.Bin063_1	53	27	44	37	48	23	9	41	17	67
Clostridium_sensu_stricto_5	0	0	187	24	2	13	0	36	57	30
Flavitalea	45	2	16	8	28	28	19	120	18	52
CL500_29_marine_group	26	3	19	15	17	30	32	110	32	52
Dechloromonas	0	3	69	51	0	0	87	83	14	19
Candidatus_Koribacter	15	0	2	21	0	11	34	206	26	5
Chthonomonas	32	52	10	36	22	24	22	19	31	68
Klebsiella	0	0	66	0	0	2	31	136	0	81
Phaselicystis	8	18	14	18	21	42	39	106	20	28
Iamia	11	0	38	10	47	24	19	124	19	21
Ignavibacteria_bacterium_RIFCSPLOWO2_12_FULL_56_21	0	0	1	0	0	0	1	311	0	0
MM2	22	3	50	24	32	35	26	63	26	31
Candidatus_Omnitrophus	44	4	35	60	19	20	13	84	13	18
Desulfurivibrio	0	0	0	0	0	46	0	260	0	0
Lacunisphaera	10	2	39	33	39	32	20	72	7	48
Terrimonas	29	0	64	19	44	21	29	55	11	27
Hirschia	17	25	20	2	17	75	59	21	23	38
Asticcacaulis	14	20	54	8	25	43	36	40	11	45
Luedemannella	29	47	30	11	46	30	21	25	43	0
Granulicella	34	54	51	28	39	14	8	24	3	18
Edaphobacter	19	56	0	32	59	14	0	11	47	32
Desulfosporosinus	0	0	32	44	5	16	38	32	73	29
Opitutus	28	19	36	28	59	17	4	27	21	23
Acinetobacter	125	13	7	17	26	0	1	17	7	49
Sulfurifustis	6	0	0	2	0	9	0	66	169	0
Curvibacter	0	6	0	0	30	13	65	81	0	57
Azospirillum	10	0	31	5	28	59	18	66	17	10
Steroidobacter	20	2	46	48	10	17	26	31	12	27
Labrys	7	33	17	28	26	33	37	14	43	0
BD1_7_clade	28	8	8	27	22	26	39	28	34	17
Flavisolibacter	19	3	29	12	43	21	8	36	25	31
TM7a	0	0	29	8	45	51	2	59	11	16
OM27_clade	8	23	12	10	12	49	24	20	12	35
Pseudonocardia	3	19	28	22	28	20	39	0	27	17
Azospira	0	0	21	0	0	9	111	50	0	8
Ilumatobacter	41	0	20	18	26	10	12	27	14	30
Trichlorobacter	0	0	0	0	0	0	22	176	0	0
Aetherobacter	0	36	8	68	27	0	7	0	37	10
Altererythrobacter	19	12	17	0	66	42	0	2	10	23
Sphingobium	2	0	46	40	25	6	19	2	13	30
Conexibacter	32	28	17	13	42	16	7	12	0	15
Sideroxydans	0	0	0	0	0	0	179	0	0	0
Piscinibacter	0	10	0	35	0	31	42	25	28	5
Roseiarcus	16	38	18	21	42	15	0	21	3	0
Dyadobacter	15	2	98	9	20	6	15	0	0	8
Kribbella	33	19	12	2	14	17	10	16	29	19
Tychonema_CCAP_1459_11B	0	0	166	0	0	0	0	0	0	0
Cavicella	11	20	4	25	14	13	31	31	0	16
Blastocatella	21	0	12	7	16	32	20	0	12	43
Comamonas	0	0	59	92	0	0	0	0	4	7
Mycobacterium	32	55	0	5	13	19	13	0	5	18
Candidatus_Berkiella	18	16	21	14	24	8	24	4	10	18
Chryseolinea	46	11	34	0	40	0	0	0	0	22
Rhodoblastus	0	0	0	31	0	29	62	13	17	0
Rudaea	13	14	0	18	18	23	0	16	34	14
