genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Penicillium	7391	10077	12195	3757	9360	16754	5915	8820	9577	9691
Fusarium	3552	2800	6171	3517	2539	6602	9827	5756	7881	9541
Trichoderma	1574	4838	2145	1277	2422	3911	1790	2884	5629	6859
Dactylonectria	10060	1277	3354	5766	2962	1286	3258	2469	389	342
Saitozyma	2150	3558	3518	1034	3352	6235	2181	1286	1754	4310
unidentified	2247	2343	3901	2291	1256	1483	3247	2534	3364	1888
Codinaea	1464	458	1892	9759	836	346	1895	639	179	352
Talaromyces	2205	1772	2100	158	1080	2423	1680	2144	943	1031
Staphylotrichum	1234	2271	463	532	1302	745	1976	817	1729	1839
Aspergillus	830	825	1699	555	1257	2428	800	1957	1126	1146
Mortierella	1302	1005	2255	1965	1727	95	662	524	493	1190
Cladosporium	1442	945	713	445	1352	287	698	540	427	391
Purpureocillium	902	1629	350	254	295	479	259	297	427	679
Exophiala	430	172	19	409	14	1217	364	620	303	264
Arthrobotrys	741	1045	87	153	520	26	93	139	51	0
Penicillifer	263	554	266	686	397	245	79	98	122	37
Plectosphaerella	324	516	252	75	383	40	301	83	32	307
Matsushimamyces	151	495	124	76	475	228	87	193	480	0
Diutina	361	508	109	163	286	71	202	189	177	240
Arxotrichum	338	567	291	71	520	125	50	134	162	32
Nigrospora	437	0	69	96	242	204	268	410	471	25
Scytalidium	152	116	223	48	335	100	212	193	515	125
other	12742	13016	10727	6507	19092	13287	19935	22291	19179	14679
Galactomyces	157	296	129	38	232	141	245	105	111	464
Paramyrothecium	194	0	173	20	15	4	270	147	342	700
Alternaria	109	109	1065	177	177	12	13	56	82	47
Arcopilus	261	309	205	96	390	45	108	0	312	0
Humicola	813	100	94	61	288	12	166	44	0	0
Mariannaea	40	0	28	369	50	34	256	524	170	43
Mycoleptodiscus	0	0	0	1203	81	0	0	0	0	0
Arthrinium	176	182	21	0	173	25	85	123	338	115
Papiliotrema	88	0	335	56	103	132	452	0	0	0
Cylindrocladiella	0	0	0	47	0	308	715	23	0	34
Thermomyces	44	257	44	148	282	23	71	15	167	33
Ascotaiwania	177	143	85	277	27	33	0	17	175	114
Cladophialophora	0	340	25	33	6	54	70	203	217	23
Tausonia	45	54	21	43	94	0	87	171	255	137
Pseudallescheria	0	237	90	33	0	63	0	398	0	0
Chaetomium	131	255	227	0	73	0	38	16	23	53
Trichosporon	51	162	76	28	190	11	65	79	51	86
Wallemia	80	153	51	97	43	77	54	3	169	53
Acrocalymma	0	0	14	14	0	0	693	0	53	0
Gonatophragmium	199	25	5	0	75	0	16	213	24	206
Chaetosphaeria	0	405	112	12	25	40	18	0	24	75
Morenoina	0	0	53	140	0	0	26	0	478	0
Wickerhamomyces	1	54	518	27	0	0	0	24	26	0
Pichia	61	70	117	19	0	23	114	0	53	181
Myxocephala	0	63	10	9	0	13	24	0	508	0
Vishniacozyma	4	48	49	106	0	56	110	71	48	116
Filobasidium	24	124	101	0	101	7	91	101	15	25
Acremonium	0	28	130	33	24	294	16	0	0	39
Arthrocladium	0	0	0	0	16	6	68	0	24	414
Phaeoisaria	325	115	0	74	0	0	6	0	6	0
Sarocladium	0	132	71	0	0	0	65	109	20	100
Gliocladiopsis	0	0	0	53	61	50	278	12	22	21
Solicoccozyma	80	0	227	37	31	0	0	25	60	0
Cladorrhinum	0	0	97	0	109	0	30	95	0	127
Podospora	172	0	50	25	79	0	0	46	81	0
Rhizoctonia	0	0	101	35	0	0	0	315	0	0
Beltrania	0	0	0	0	0	63	386	0	0	0
Fibulochlamys	0	0	14	0	0	0	0	120	297	0
Olpidium	80	34	26	0	80	23	97	54	12	0
Hannaella	0	65	68	0	0	29	39	54	100	36
Apiotrichum	55	0	49	0	0	0	58	213	0	0
Curvularia	188	87	28	61	0	9	1	0	0	0
Chloridium	37	0	85	91	112	0	0	0	0	43
Zasmidium	11	24	30	54	62	8	19	0	24	132
Tetracladium	123	0	21	26	22	0	3	93	65	0
Mycothermus	0	0	148	36	0	16	96	57	0	0
Fusicolla	60	0	68	119	15	22	37	0	0	31
Microascus	0	31	43	15	16	0	156	0	0	82
