Sample,Shoot height,Stem diameter,Leaf number,Shoot dry weight,Root dry weight,Root length
Control1,62.12,10.26,52,55.72,9.89,25.82
Control2,63.45,11.12,56,55.15,9.74,23.52
Control3,67.15,10.67,53,55.87,12.27,24.64
Control4,65.25,11.12,61,55.23,12.61,26.38
Control5,66.82,10.83,55,55.66,11.23,25.84
Control6,59.74,11.01,64,55.76,14.49,26.34
SynCom1,90.85,11.12,56,80.54,15.19,26.52
SynCom2,78.49,11.21,58,75.32,8.19,32.42
SynCom3,77.95,11.08,73,85.16,15.52,26.91
SynCom4,75.85,11.72,71,70.56,14.39,36.52
SynCom5,89.64,11.32,60,75.87,13.87,31.45
SynCom6,77.56,11.24,67,80.24,16.73,32.42
