genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Fusarium	4598	2580	1346	3102	2193	6643	5070	2460	4855	13267
Penicillium	5840	2748	235	2082	2441	5564	4221	3311	2404	4187
Mortierella	1170	2603	922	2158	1008	3865	8193	7183	1600	3637
unidentified	3439	3389	792	2918	4180	1175	2428	3205	3255	1774
Trichoderma	1187	1530	206	2121	1193	2736	1363	3708	1504	3107
Talaromyces	1270	385	38	947	2041	3341	196	8237	325	456
Aspergillus	1897	1234	1669	1229	1022	2192	1477	1008	2222	1279
Codinaea	169	471	579	433	5928	68	4290	445	65	2757
Saitozyma	516	590	395	1349	3158	808	70	1525	674	1072
Purpureocillium	130	1206	194	1269	1528	254	1526	1341	747	412
Cladosporium	1211	678	525	636	588	672	985	1137	541	509
Wickerhamomyces	1651	987	3	0	0	0	53	0	2941	156
Alternaria	1619	457	530	285	129	144	85	339	1299	330
Staphylotrichum	0	284	114	280	1191	1198	810	113	168	644
Diutina	66	332	1344	192	893	415	184	315	144	170
Debaryomyces	12	30	0	148	731	75	1526	312	87	862
Arxotrichum	523	912	0	1089	0	44	158	306	83	296
Penicillifer	109	1151	100	272	713	0	82	0	49	719
Chaetosphaeria	212	482	0	1604	317	158	74	56	185	21
Matsushimamyces	56	624	143	791	0	588	0	30	420	224
Plectosphaerella	838	131	224	189	314	191	320	216	293	120
Mycoleptodiscus	2718	0	0	0	0	0	0	0	0	0
other	15447	25879	13007	10287	25269	19933	19226	20668	19751	13488
Arcopilus	60	216	0	535	265	52	472	542	293	132
Nigrospora	142	124	59	990	640	0	0	444	31	0
Tausonia	196	363	63	392	296	243	224	325	325	0
Thermomyces	125	103	263	492	178	197	267	151	367	203
Galactomyces	366	180	186	155	304	164	258	215	167	212
Paramyrothecium	328	0	13	186	149	0	122	1159	186	27
Trichosporon	222	431	152	174	145	54	347	75	331	73
Solicoccozyma	461	421	203	71	0	0	162	66	393	196
Pichia	229	109	269	38	137	654	163	52	140	123
Dactylonectria	576	138	0	0	187	243	41	0	623	104
Podospora	288	493	176	146	0	286	179	80	134	86
Vishniacozyma	117	86	236	66	0	94	212	157	30	803
Marasmiellus	0	38	0	0	0	0	0	0	1761	0
Filobasidium	89	150	418	134	0	288	38	119	265	25
Scytalidium	37	0	49	0	45	0	0	0	563	827
Chaetomium	228	517	17	23	248	65	0	43	200	170
Epicoccum	262	71	0	152	0	172	102	188	334	181
Fusicolla	200	141	0	36	83	56	167	93	109	564
Arthrobotrys	15	0	0	23	85	103	45	0	105	992
Humicola	143	201	25	27	0	501	46	0	255	141
Leucosporidium	0	17	0	49	68	23	308	10	81	664
Pseudallescheria	41	55	27	825	227	0	0	0	24	0
Archaeorhizomyces	236	201	229	46	0	124	153	0	129	63
Papiliotrema	424	43	217	53	44	0	59	74	189	70
Acremonium	131	66	0	80	65	170	303	92	224	39
Tetracladium	160	438	78	0	0	0	219	0	153	112
Botryotrichum	464	0	0	194	58	0	0	90	238	21
Xeromyces	134	125	0	166	246	0	181	88	85	0
