genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Burkholderia_Caballeronia_Paraburkholderia	9111	3066	3807	3533	878	3154	7057	1429	6170	4151
Pseudomonas	3827	7819	5745	3225	1538	3756	3386	2750	2940	4140
Methyloversatilis	503	5160	4365	3823	8536	903	275	6084	965	4292
Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium	3874	6846	1225	7117	149	2401	2995	1148	3758	1511
Lachnospiraceae_NK4A136_group	912	4031	4237	3221	6445	1044	294	6139	977	3612
Bradyrhizobium	5998	2637	1776	2556	760	2258	5783	981	2608	2335
Acidovorax	1424	4567	4068	2584	5095	1050	352	4449	1600	2392
Acidibacter	2780	2019	1613	1395	382	2209	2962	2089	3323	2548
Hyphomicrobium	1980	2251	255	1539	235	2392	2812	2042	1720	2446
Ligilactobacillus	650	2551	2299	1847	2113	673	153	2216	354	2564
Niastella	2783	593	779	1489	131	3216	2065	403	2143	1194
Bacteroides	392	1647	2772	1649	2296	1523	280	1368	403	1904
Pseudolabrys	1332	1310	948	441	406	2223	2016	1386	2189	928
Bacillus	1507	800	1146	1272	499	1159	1884	1312	2312	1034
Cupriavidus	2242	1343	874	1212	205	1793	1278	385	989	1560
Massilia	1089	1570	1132	774	928	676	1078	1007	944	1513
Sphingomonas	1975	1026	479	593	898	678	702	1068	740	551
Dongia	1192	670	342	963	71	569	2289	50	1240	499
Alloprevotella	168	545	377	803	1749	690	141	1728	300	1319
Ileibacterium	168	1481	1110	586	2000	276	74	1099	215	807
other	33367	40402	48038	50126	50289	46444	39275	49702	56215	48658
Helicobacter	129	1045	509	564	2323	1166	59	986	577	295
Streptomyces	1330	830	370	972	115	1580	896	447	677	397
Blautia	217	579	786	686	1172	2079	40	925	271	615
Terrimonas	1155	189	146	652	283	1444	1695	82	342	683
Allobaculum	137	1041	1035	1020	806	172	37	1409	295	520
Rhodomicrobium	506	954	202	0	155	546	290	474	1734	1449
Legionella	444	155	142	227	0	3961	161	591	228	262
Haliangium	976	725	482	661	267	345	872	188	645	871
Mycoplasma	87	163	3492	885	340	251	20	523	86	136
Devosia	1228	748	334	247	145	824	736	289	871	401
Dubosiella	149	570	675	409	1179	246	64	1725	215	537
Escherichia_Shigella	133	881	705	1008	1670	81	49	215	141	671
Parabacteroides	233	677	666	748	857	410	111	508	394	906
Pedomicrobium	767	1200	157	489	0	604	637	643	293	598
Phenylobacterium	1179	344	925	433	143	423	520	450	328	460
Bdellovibrio	1072	449	183	397	104	585	974	318	681	392
Subgroup_10	351	621	93	572	97	426	560	433	663	1068
Desulfovibrio	86	441	357	541	1030	297	339	365	712	699
Alistipes	188	1057	906	483	498	366	62	791	76	250
Clostridium_sensu_stricto_1	203	1053	238	475	922	158	185	671	172	555
