genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Fusarium	6778	5146	4340	2583	4385	5328	11626	6689	5270	13747
Dactylonectria	14138	2008	783	416	10987	16731	8880	312	11034	416
Mortierella	939	2315	5893	1803	2257	2811	14302	2563	1067	4209
Codinaea	16251	651	5842	768	1417	1177	1398	0	1451	845
Botryotrichum	437	1379	2465	1047	445	458	16049	696	519	741
Aspergillus	1621	2079	4472	2029	1990	2287	1062	2760	1168	2855
Cladosporium	984	3097	4053	2035	2063	1852	625	2850	1418	2898
Penicillium	5659	1655	1919	1011	1921	2751	1189	1591	1796	649
Alternaria	327	934	1095	1204	1110	1192	304	1660	898	1411
Coniochaeta	265	553	172	0	51	77	6857	145	182	630
Trichoderma	758	153	544	159	894	1073	1350	204	2770	809
Cladophialophora	107	0	444	115	555	900	223	0	6072	157
Thermomyces	479	897	1273	1216	476	515	337	1291	552	1177
Chaetomium	534	1490	1256	464	428	482	3	1083	564	904
Cephalotrichum	293	1568	971	627	421	379	418	951	680	540
Exophiala	161	255	121	213	531	806	951	210	1937	696
Wallemia	542	762	560	655	272	546	159	1384	449	434
Talaromyces	1223	79	454	1180	716	697	254	455	147	541
Candida	275	795	785	465	196	402	121	1309	366	857
Saitozyma	459	301	756	395	569	245	852	650	587	601
Plectosphaerella	303	1161	726	97	360	264	583	528	268	617
Gliocladiopsis	198	0	0	0	0	0	3849	0	256	444
Papiliotrema	0	9	131	431	1564	1343	53	162	51	305
other 	49894	49249	52091	68487	36521	58427	44183	43706	56711	37606
Pichia	434	454	531	312	253	179	104	644	133	855
Acremonium	0	298	721	377	273	313	58	526	501	286
Pseudogymnoascus	223	465	195	663	123	198	373	701	170	234
Filobasidium	262	274	317	205	331	467	43	430	345	644
Podospora	98	408	623	219	152	198	644	730	0	192
Trichocladium	55	586	512	234	228	196	340	515	291	287
Didymella	120	664	1155	210	35	43	0	356	180	334
Gibellulopsis	0	365	140	492	0	0	872	644	66	500
Tausonia	295	210	276	152	212	397	60	375	177	909
Vishniacozyma	134	466	724	392	226	240	100	274	153	254
Mariannaea	0	0	0	0	26	45	73	0	2807	0
Aureobasidium	206	756	0	393	84	186	2	644	239	422
Saccharomyces	338	265	132	217	3	114	70	388	193	1166
Wickerhamomyces	77	340	296	574	135	242	324	301	230	237
Apiotrichum	275	508	715	229	117	150	129	148	92	373
Trichosporon	46	206	425	177	105	215	166	767	241	332
Sporidiobolus	0	125	0	222	756	893	22	130	0	507
Humicola	167	741	218	199	170	201	40	376	158	240
Epicoccum	103	385	213	89	208	282	23	890	48	189
Solicoccozyma	239	338	444	304	168	239	87	124	108	378
Archaeorhizomyces	41	0	402	211	461	249	256	244	222	329
Rhizopus	69	462	705	154	56	108	50	379	54	271
Sporobolomyces	0	115	125	101	566	693	0	0	0	454
Hannaella	0	416	452	0	127	156	78	183	65	484
Tetracladium	7	112	285	248	76	131	34	243	174	644
Mycothermus	118	347	123	0	122	62	145	207	0	805
Ilyonectria	0	0	656	0	520	576	69	0	0	99
Cutaneotrichosporon	81	429	568	259	136	120	84	99	62	50
Sarocladium	107	137	191	232	96	122	64	463	155	304
Chrysosporium	262	139	0	378	0	0	744	211	86	0
Sebacina	41	278	251	0	92	135	33	651	74	176
Fusicolla	46	293	201	211	58	203	43	130	242	234
Clavaria	0	118	762	0	231	290	7	0	36	204
Olpidium	0	286	117	404	114	62	34	346	153	128
Neoascochyta	62	679	154	0	104	162	38	207	105	113
Naganishia	0	0	207	123	112	128	437	0	259	161
Purpureocillium	0	278	510	0	48	82	0	235	81	149
Hygrocybe	50	431	134	0	137	190	165	109	102	0
Meyerozyma	25	240	238	173	36	44	0	222	102	233
Clavulinopsis	51	93	560	111	66	59	147	0	59	157
Gliophorus	62	0	154	0	214	279	0	264	238	52
Schwanniomyces	0	0	0	0	0	0	0	0	0	1263
Pseudaleuria	55	94	582	391	0	0	18	0	44	73
Debaryomyces	51	339	122	315	18	26	71	117	0	191
Pleiocarpon	0	0	0	0	0	0	0	0	1247	0
Enterocarpus	0	209	0	100	177	212	264	66	0	191
Colletotrichum	19	36	438	0	117	104	0	403	0	97
Cephaliophora	0	0	0	185	16	30	897	0	34	0
Phaeosphaeria	56	0	418	110	46	68	60	0	58	306
Trichoglossum	0	0	476	198	155	173	0	105	0	0
Cladorrhinum	134	353	0	73	41	56	49	117	59	216
Byssochlamys	0	275	0	322	39	65	31	240	0	114
Preussia	0	122	0	220	152	214	44	0	218	112
Metarhizium	52	0	134	203	87	82	96	104	51	257
Diaporthe	0	0	932	0	49	68	0	0	0	0
Hapsidospora	146	153	272	7	102	88	0	108	79	72
Scytalidium	52	0	843	84	0	0	24	0	0	0
Erysiphe	96	0	332	44	35	61	0	179	139	88
Staphylotrichum	0	0	65	191	222	248	41	0	53	144
Bullera	0	0	0	0	339	313	0	126	54	119
Cercospora	142	0	0	0	142	160	8	242	0	252
Thermoascus	101	0	0	487	34	58	0	0	108	141
Leohumicola	113	78	0	308	0	0	0	235	99	70
Coprinellus	0	215	0	215	59	56	44	157	63	78
Acaulium	0	123	0	36	71	109	382	111	0	48
Myrmecridium	50	324	87	113	73	80	11	0	0	121
Thelebolus	26	118	361	107	63	95	33	0	56	0
Apodus	16	178	95	0	41	42	23	153	154	154
Russula	166	0	0	72	54	83	59	0	337	79
Trichomerium	81	104	127	155	2	0	38	207	0	132
Zasmidium	65	408	96	102	0	0	0	0	52	90
Clitopilus	53	0	320	0	44	88	16	268	0	0
Schizophyllum	0	0	0	0	0	0	0	0	0	783
Pyrenochaetopsis	95	74	0	0	0	70	136	131	62	213
Rhizophagus	91	235	0	78	44	112	7	0	0	204
Microthecium	46	134	0	163	102	100	24	119	62	0
Knufia	0	239	117	97	100	178	14	0	0	0
Xeromyces	0	167	170	305	23	50	23	0	0	0
Cercophora	126	153	47	107	3	0	0	0	0	270
Neosetophoma	42	115	70	0	22	51	15	260	0	128
Scolecobasidium	0	107	148	0	65	129	109	0	145	0
Fusariella	0	148	322	128	0	0	16	0	85	0
Cylindrocladiella	0	0	0	63	245	363	16	0	0	0
Microdochium	50	148	0	242	34	30	31	0	150	0
Mrakia	0	0	0	0	120	170	14	0	0	379
Paraphoma	79	0	0	0	36	81	0	210	20	256
Neodevriesia	0	0	287	0	9	0	54	137	105	88
